단어,점수
깍아내리다,-1.0
깎아내려,-1.0
깎아내리기,-1.0
깎아내리려,-1.0
깐깐하고,-1.0
깐깐하다,-1.0
깐작깐작하고,-1.0
깐죽대다,-1.0
깔깔하며,-1.0
깔깔한,-1.0
깔끄럽게,-1.0
깔끔하게,2.0
깔끔하다,2.0
깔끔한,2.0
깔끔해지다,2.0
깔보면서,-1.0
깔보아,-1.0
깔봄,-1.0
깜놀,-1.0
깜찍하게,1.0
깜찍하고,1.0
깜찍하다,1.0
깜찍하면서도,1.0
깨갱대다,-1.0
깨끗이,1.0
깨끗하게,1.0
깨끗하고,2.0
깨끗하다,2.0
깨끗하다는,2.0
깨끗하며,2.0
깨끗하여,2.0
깨끗한,2.0
깨닫거나,1.0
깨닫게,1.0
깨닫고자,1.0
깨닫는,1.0
깨닫다,1.0
깨달아,1.0
깨달음,1.0
깨달음을,1.0
깨달음의,1.0
깨뜨리다,-1.0
깨알같다,1.0
깨어지거나,-1.0
깨어지다,-1.0
깨우쳐,1.0
깨지다,-1.0
깨진,-1.0
깽깽대다,-1.0
꺼꾸러트리다,-1.0
꺼덕거리다,-1.0
꺼덕대다,-1.0
꺼덕이다,-1.0
꺼려지거나,-2.0
꺼리는,-2.0
꺼리다,-2.0
꺼리어,-2.0
꺼린다,-2.0
꺼림,-2.0
꺼림칙하고,-2.0
꺼림칙하여,-2.0
꺼림칙해,-2.0
꺼먹대다,-1.0
꺼부는,-1.0
꺼부러져,-1.0
꺼불거리고,-1.0
꺼불대다,-1.0
꺼칠하게,-1.0
꺼칠하다,-1.0
꺾이다,-1.0
꺾임,-1.0
껄끄러운,-1.0
껄렁껄렁한,-1.0
꼬락서니,-1.0
꼬물거리는,-1.0
꼬이거나,-2.0
꼬집거나,-1.0
꼬집히는,-1.0
꼴사나운,-2.0
꼴사납게,-2.0
꼴사납다,-2.0
꼼꼼하게,1.0
꼼꼼하고,1.0
꼼꼼하다,1.0
꼼꼼한,2.0
꼿꼿하며,1.0
꽁알대다,-1.0
꽁하다,-1.0
꾀거나,-1.0
꾸물거리는,-1.0
꾸물거리다,-1.0
꾸물꾸물하다,-1.0
꾸민,1.0
꾸준하게,1.0
꾸준한,2.0
꾸준함,2.0
꾸준히,2.0
꾸중,-1.0
꾸중을,-1.0
꾸중하다,-1.0
꾸지람,-1.0
꾸지람을,-1.0
꾸지람하다,-1.0
꾸짖거나,-1.0
꾸짖는,-1.0
꾸짖다,-1.0
꾸짖어,-1.0
꾸짖음,-1.0
꿀잼,1.0
꿉신대다,-2.0
꿋꿋하다,1.0
꿋꿋한,1.0
끈기,1.0
끊고,-1.0
끌다,1.0
끌리도록,1.0
끔살,-2.0
끔직하고,-2.0
끔찍하게,-2.0
끔찍하다,-2.0
끔찍한,-2.0
끔찍함,-2.0
끼깅대다,-1.0
낄끼빠빠,-1.0
낑낑대다,-1.0
나가자빠지는,-2.0
나긋나긋이,1.0
나릿나릿,-1.0
나무라다,-1.0
나무라며,-1.0
나무람을,-1.0
나불거리며,-1.0
나불나불,-1.0
나불나불하다,-1.0
나빠지게,-2.0
나빠지다,-2.0
나빠지도록,-2.0
나빠진,-2.0
나쁘거나,-2.0
나쁘게,-2.0
나쁘고,-2.0
