닉네임,날짜,내용,종목
구이치오,2025-01-17T13:40:32+09:00,밑에꺼는매수안되고가네.,005930
개브럴티,2025-01-17T13:39:18+09:00,하닉이 예전에 현대 전자 아닌가? 에효 삼성전자가 어떻게 이모양 이꼴로 ㅠㅠ,005930
용돈좀벌려고,2025-01-17T13:39:02+09:00,"오늘 생각보다 마니 안 떨어지는
이유가 있나요?",005930
후진은없다,2025-01-17T13:37:31+09:00,삼성전자 오늘 보합까지는 갈듯여,005930
아리011,2025-01-17T13:37:01+09:00,"애를어찌할까요?
진심으로 물어보고싶네요
열심히물탔는데...
타면탈수록....",005930
주초보다요,2025-01-17T13:36:15+09:00,내 생애 이 주식 못 팔 듯,005930
주식고수이열무,2025-01-17T13:34:39+09:00,정찰병 드가자~,005930
로또4,2025-01-17T13:34:04+09:00,개잡주,005930
목포낭만검객부캐,2025-01-17T13:33:36+09:00,"1. 틱톡 CEO, 트형 취임식 참석 예정

2. 미국 연방정부 부채 2017 > 2024 2배 증가,
10년물 미국채 금리 5>6% 오를수 있다고 경고, 이는 소비위축과 주식시장 하락으로 이어질 수도 있음.

3. 미국 에너지부, 양자 연구에 6억 2500만 달러 투자, 5개 신규 연구센터 설립

4. 젠슨황, 앤비디아 연례행사 GTC 2025 첫날 ""양자 컴퓨터의 날""로 선정, 태세전환 보소???

5. 스페이스 X 스타쉽 7차 시험비행 실패, 부스터 젓가락팔 회수는 성공

6.애플, 중국에서 핸드폰 판매 3위로 추락",005930
빵애에용,2025-01-17T13:33:27+09:00,님들 화안남??,005930
가치주만찾아요,2025-01-17T13:32:42+09:00,"주식 안가지고 있으면 책임이 없는거임
그런분왜 관리시킴",005930
마곡동꾀꼬리,2025-01-17T13:31:29+09:00,"반드시 삼전은 올라갈것이다?

이말에속아 인생 죠지는거같습니다.

나라도 삼전도 희망이 없는건가요?",005930
물리면가치투자자,2025-01-17T13:31:09+09:00,"역사가 증명을 해준다니까?
나스닥에 눌러 앉으세여 ㅋㅋ",005930
테니스나달,2025-01-17T13:28:15+09:00,하닉은 신이다,005930
맨해튼카페,2025-01-17T13:28:07+09:00,다단계ㅋ,005930
주식하는이일병블로그검색,2025-01-17T13:26:07+09:00,삼전주주님들 저도 주식을 시작한지 오래되지 않았지만 많은 힘들었던 순간들이 있습니다. 하지만 여기서 언젠가 기회와 희망이 찾아올것이라고 믿습니다. 그게 꼭 삼전이 아니더라도 다른일들이 잘되도록 응원합니다,005930
구이치오,2025-01-17T13:25:50+09:00,지금기회일듯요,005930
Brilliant7,2025-01-17T13:22:21+09:00,핑퐁 그만하고 위로 쏴주세요!,005930
한노동,2025-01-17T13:21:58+09:00,상법개정하라,005930
BITC0IN,2025-01-17T13:20:46+09:00,재무 대장을 바꾸든가 아니면 재무 힘을 죽이 든가 해야 삼성 미래가 살 듯...기술로 먹고 사는 곳이 돈을 너무 아끼면 미래 기술이 나아 가 질 못합니다.,005930
내가젤잘,2025-01-17T13:18:54+09:00,징글해서탈출,005930
머스크사생팬,2025-01-17T13:18:16+09:00,5년 전 가격은 좀 매력적이네,005930
사탕스틱,2025-01-17T13:14:12+09:00,에라이,005930
7777억자산가,2025-01-17T13:13:31+09:00,결국 10만원은 가게되어있음. 새우깡 한봉지 만원할 때쯤?,005930
모잡고,2025-01-17T13:11:49+09:00,언팩하면 오를 것 같아요?? 그렇다면 정말 삼알못인뎅,005930
TM1115,2025-01-17T13:11:27+09:00,가망이 없는거니?,005930
병으아리,2025-01-17T13:11:24+09:00,"매일 떨어지는데 뭐해??
한잔해!",005930
튼튼한튼튼이,2025-01-17T13:10:44+09:00,상처를 치료해줄사람 어디없나,005930
삼연속상한,2025-01-17T13:10:26+09:00,"국민모두의피와땀
그리고세금으로
개인총수들일가들이
재산축적한사실을잊지마라",005930
지한아비,2025-01-17T13:08:20+09:00,"와리가리 하지말고 4만 중후반까지 와라
그래야 반등이라도 쎄게 오지 맨날 뭐하냐
자기위로 하나 왔다갔다",005930
라떼죠타,2025-01-17T13:06:52+09:00,.,005930
