Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
348370,엔켐,KOSDAQ,벤처기업부,146700,1,1300,0.89,147100,151700,142900,291088,42606373500,3049441604100,20786923,KSQ,기초 화학물질 제조업,2차전지 전해액,2021-11-01,12월,오정강,http://www.enchem.net,충청북도
006260,LS,KOSPI,,92900,1,7200,8.4,85700,93200,85700,176678,16072740800,2991380000000,32200000,STK,기타 금융업,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,명노현,http://www.lsholdings.co.kr,서울특별시
004020,현대제철,KOSPI,,22350,1,2450,12.31,20250,22350,20250,1051670,22880659300,2982513294750,133445785,STK,1차 철강 제조업,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,12월,서강현,http://www.hyundai-steel.com,인천광역시
039490,키움증권,KOSPI,,116300,1,4900,4.4,112800,116800,112600,55053,6339467900,2968755907800,25526706,STK,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,12월,엄주성,http://www.kiwoom.com,서울특별시
026960,동서,KOSPI,,28700,1,1250,4.55,27750,28750,27650,132349,3736030900,2861390000000,99700000,STK,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",2016-07-15,12월,김종원,http://www.dongsuh.com,서울특별시
214150,클래시스,KOSDAQ GLOBAL,우량기업부,43350,1,3300,8.24,40600,43850,40600,332003,14134835800,2839670317650,65505659,KSQ,의료용 기기 제조업,미용의료기기,2015-04-03,12월,Seung Han Baek,http://classys.co.kr,서울특별시
000720,현대건설,KOSPI,,25450,1,1350,5.6,24200,25500,24200,557616,13944177000,2834004219250,111355765,STK,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",1984-12-22,12월,김도형,http://www.hdec.kr,서울특별시
009830,한화솔루션,KOSPI,,16320,1,1460,9.83,15040,16460,15040,1848693,29524744540,2805286187520,171892536,STK,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,"남정운, 홍정권, 김동관",http://hcc.hanwha.co.kr,서울특별시
001040,CJ,KOSPI,,93600,1,3100,3.43,91500,94200,90800,43952,4071514000,2730967012800,29176998,STK,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
011780,금호석유,KOSPI,,97900,1,10100,11.5,89000,99000,89000,195210,18905676100,2676056067300,27334587,STK,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,12월,백종훈,http://www.kkpc.com,서울특별시
011170,롯데케미칼,KOSPI,,61900,1,5500,9.75,57300,62700,57300,225134,13810177600,2647798436100,42775419,STK,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,12월,"신동빈, 이영준",http://www.lottechem.com,서울특별시
035900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,71400,1,4300,6.41,68600,72400,68200,1023642,72396973900,2537019928800,35532492,KSQ,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시
214450,파마리서치,KOSDAQ GLOBAL,우량기업부,239500,1,28000,13.24,214500,240000,212500,212354,48911942500,2517049200000,10509600,KSQ,의료용품 및 기타 의약 관련제품 제조업,재생의약품,2015-07-24,12월,각자대표이사 강기석 각자대표이사 김신규,http://pharmaresearch.co.kr,강원특별자치도
277810,레인보우로보틱스,KOSDAQ,기술성장기업부,128500,1,5300,4.3,123200,129500,123200,95645,12171981800,2492881753000,19399858,KSQ,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2021-02-03,12월,이정호,http://www.rainbow-robotics.com/new/index_ko.php,대전광역시
007070,GS리테일,KOSPI,,23150,0,0,0.0,0,0,0,0,0,2424219894300,104717922,STK,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,허연수,http://www.gsretail.com,서울특별시
081660,휠라홀딩스,KOSPI,,40050,1,250,0.63,40100,40550,39700,130954,5251565250,2406838351950,60095839,STK,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,12월,윤근창,http://www.filaholdings.com/kr/main/index.asp,서울특별시
058470,리노공업,KOSDAQ GLOBAL,우량기업부,155600,1,2500,1.63,155300,158700,153700,58983,9215422100,2371712772000,15242370,KSQ,전자부품 제조업,"리노핀, 반도체 소켓 등",2001-12-18,12월,이채윤,http://leeno.com/kr,부산광역시
012750,에스원,KOSPI,,61600,3,0,0.0,62200,62300,60200,31073,1900861800,2340749364800,37999178,STK,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라",1996-01-30,12월,"남궁범, 하나오카 타쿠로",http://www.s1.co.kr,서울특별시
000250,삼천당제약,KOSDAQ,중견기업부,98000,1,9500,10.73,89300,99000,89300,339234,32355876800,2298832256000,23457472,KSQ,의약품 제조업,"하메론, 아토로우",2000-10-04,12월,전인석,http://www.scd.co.kr,경기도
001450,현대해상,KOSPI,,25650,1,450,1.79,25450,25850,25250,222724,5715119850,2293110000000,89400000,STK,보험업,손해보험(자동차보험),1989-08-25,12월,"조용일, 이성재",http://www.hi.co.kr,서울특별시
263750,펄어비스,KOSDAQ GLOBAL,우량기업부,35450,1,1750,5.19,33700,35850,33700,214532,7567949600,2277586459750,64247855,KSQ,소프트웨어 개발 및 공급업,온라인게임 개발 서비스(검은사막),2017-09-14,12월,허진영,http://www.pearlabyss.com,경기도
088350,한화생명,KOSPI,,2605,1,85,3.37,2515,2615,2490,1204878,3107195140,2262520650000,868530000,STK,보험업,생명보험,2010-03-17,12월,여승주,http://www.hanwhalife.com,서울특별시
328130,루닛,KOSDAQ,기술성장기업부,77900,1,12600,19.3,65700,78600,64500,5596420,405429424300,2254651910000,28942900,KSQ,소프트웨어 개발 및 공급업,Lunit INSIGHT,2022-07-21,12월,서범석,http://www.lunit.io,서울특별시
