닉네임,날짜,내용
삼전35만원,2025-01-10T09:08:48+09:00,사람들은 왜 모르지 ㅋㅋㅋ
하힝히,2025-01-10T09:06:42+09:00,평소의삼성으로 다시 돌아왔네ㅋㅋㅋ 이번년도 도 6만가긴글렀네
삼중힘내라,2025-01-10T09:06:41+09:00,그냥!
주린이배고픈데,2025-01-10T09:04:49+09:00,"이게뭐시여 평단 59층에서 손절하고
57에서 다시 줍기시작했는데"
01시현,2025-01-10T09:04:47+09:00,얘 6만원 언제감?
말꽁구리,2025-01-10T09:04:10+09:00,너의 자리는 57000원 이란다
아산두부,2025-01-10T09:04:05+09:00,금요일입니다...이것만알면답나오죠.
지구마불세계여행,2025-01-10T09:03:16+09:00,돔앙강
불꽃남자3,2025-01-10T09:02:59+09:00,젠장 느낌 안좋다
불타는만두장,2025-01-10T09:02:19+09:00,"하이닉스 익절
삼성전자 손절이 되려나..."
초보쥬린봉,2025-01-10T09:00:25+09:00,단타익절
초보쥬린봉,2025-01-10T08:58:22+09:00,줄먹하자
삼전35만원,2025-01-10T08:58:12+09:00,투표를 진행합니다.
워렌존리,2025-01-10T08:58:00+09:00,오늘은 어찌 될려나
PEEDA,2025-01-10T08:54:36+09:00,"나는 비중 실을때마다 크게 반년이상 물리더라.
삼전은 4개월차니깐 아직 3개월은 더 있어야됨"
댄다고,2025-01-10T08:54:15+09:00,5.1 가보자
하힝히,2025-01-10T08:52:46+09:00,다시 53가겠네
내가낸데1,2025-01-10T08:50:49+09:00,삼성전자 상한가 가즈아
아빠리게티왜팔았어,2025-01-10T08:45:43+09:00,매수벽ㅋㅋㅋㅋ와 실화냐
비밀창고,2025-01-10T08:44:59+09:00,혹시 투자도 하시나요 .글올림만 있고 투자정보가 없어서오
